arquitetura,dataset,modo_treinamento,loss,augmentation,seed,mdice,miou,dice_classe_1,iou_classe_1,precision_classe_1,recall_classe_1
U-Net,OEDB,PTALL,DICE,False,123,0.8487909786841449,0.7495431225089466,0.7844241598949713,0.6558237489970291,0.8043762888101971,0.7798676213578266
U-Net,OEDB,PTALL,DICE,False,2025,0.8462295540991951,0.7458984479308128,0.7800190102528123,0.6498618460095981,0.8048553510623819,0.7693567002082572
U-Net,HE,PTALL,BCE,True,42,0.905875454125581,0.8396789791407409,0.8993520478407542,0.8262133790387047,0.8832526357085616,0.9249398216053292
U-Net,HE,PTALL,BCE,True,123,0.901467924868619,0.8340126554171244,0.8932410215889967,0.8189489873471083,0.8923715611298879,0.9089777063440394
U-Net,HE,PTALL,BCE,True,2025,0.8974727727748729,0.8281941683204086,0.8901722963209505,0.8139212646970042,0.8852624610618308,0.91026355293062
U-Net,HE,PTALL,BCE,False,42,0.9046876898518315,0.8378543750003532,0.8972341230622044,0.8232971017007474,0.8872769713401795,0.9183666712707943
U-Net,HE,PTALL,BCE,False,123,0.9036174588733249,0.8353892922401428,0.8951215415089219,0.8194533853619187,0.8891805253646992,0.9113550629880693
U-Net,HE,PTALL,BCE,False,2025,0.9011652485088065,0.8340842324274558,0.8901663255912287,0.8156061357370129,0.892732212499336,0.9032145851188236
U-Net,HE,PTALL,DICE,True,42,0.8938078003901022,0.8262799066525919,0.8869263671269572,0.8146927814482263,0.8852714943665045,0.9158046478164141
U-Net,HE,PTALL,DICE,True,123,0.8957984922108827,0.8280466905346623,0.8920473252595574,0.8191810184606799,0.8765549116664463,0.9256615687299657
U-Net,HE,PTALL,DICE,True,2025,0.8967124115537715,0.8288736036530248,0.892161858468144,0.8188377857760146,0.887530509630839,0.916022895110978
U-Net,HE,PTALL,DICE,False,42,0.8931801138100801,0.8232049447518808,0.8883557979707365,0.8126411337543417,0.873066176087768,0.922462039358086
U-Net,HE,PTALL,DICE,False,123,0.8975656546928265,0.8300455620995274,0.8908310349340792,0.8175781988435321,0.8819921400811938,0.918396970629692
U-Net,HE,PTALL,DICE,False,2025,0.8967937917621047,0.83003899079782,0.8889039210699222,0.8168403778915052,0.8806610155988622,0.9117511012487941
Attention U-Net,OEDB,FS,BCE,True,42,0.8097377130213905,0.6948154226822012,0.7259746456847471,0.5787220071343815,0.7707164638182696,0.7047653215772965
Attention U-Net,OEDB,FS,BCE,True,123,0.7995047323844012,0.6829166342230404,0.7081375516512814,0.5588356230188819,0.7759049324428334,0.6722831520087579
Attention U-Net,OEDB,FS,BCE,True,2025,0.8310092630631783,0.7233336839605781,0.7580865650054287,0.6186840538592899,0.7908595436636139,0.741837410365834
Attention U-Net,OEDB,FS,BCE,False,42,0.8201413505217608,0.7096352134557331,0.7407192243810963,0.5988078201737475,0.7796262892730096,0.7255767851191408
Attention U-Net,OEDB,FS,BCE,False,123,0.8174041299258962,0.705980488920913,0.7355154551127377,0.5919120700701195,0.7854349788497476,0.7091775161816793
Attention U-Net,OEDB,FS,BCE,False,2025,0.8073889735866996,0.6921880679095492,0.7218278931344256,0.5744038877241752,0.7668115759597105,0.6992164319928955
Attention U-Net,OEDB,FS,DICE,True,42,0.8156049913343262,0.6999034346903071,0.748693164657144,0.6048199416083448,0.7126710769884727,0.8050745576620102
Attention U-Net,OEDB,FS,DICE,True,123,0.815219385220724,0.6994971505859319,0.7485926177571801,0.604911617058165,0.7125979285029804,0.807424214832923
Attention U-Net,OEDB,FS,DICE,True,2025,0.8279688007691327,0.7173497571664698,0.764069559819558,0.6249342269318945,0.7341901072684456,0.8107559659025249
Attention U-Net,OEDB,FS,DICE,False,42,0.8276198252159006,0.7171487523352399,0.761739676927819,0.6226841645205722,0.7388204704312717,0.8004591184503892
Attention U-Net,OEDB,FS,DICE,False,123,0.8240906898589695,0.7120684578138239,0.7570518237702987,0.6166308101485757,0.7273771600688205,0.8034939814139815
Attention U-Net,OEDB,FS,DICE,False,2025,0.8427145836107871,0.7386860041057363,0.7806580320877188,0.6481424782644299,0.7626290299436626,0.8142419577959705
Attention U-Net,HE,FS,BCE,True,42,0.8381040853482705,0.7499117434024811,0.8149010888404317,0.7197330838966148,0.837521513303121,0.8378670730386619
Attention U-Net,HE,FS,BCE,True,123,0.8402235044373406,0.7537516618216479,0.8163419570497893,0.7240135847694344,0.8278955089273277,0.846837564309438
Attention U-Net,HE,FS,BCE,True,2025,0.8329832242594825,0.7426943357344027,0.8101466958445531,0.7132771507043529,0.8274690681033664,0.8397331983816845
