repetition,seed,dataset,task,model,encoder,training mode,augmentation,loss,input_size,epochs,batch_size,dice_background_test,dice_foreground_test,mDice_test,iou_background_test,iou_foreground_test,mIoU_test,precision_foreground_test,recall_foreground_test,num_params,trainable_params,gflops,best_epoch,val_mDice_best
1,123,HE,segmentacao_binaria,UNetClassica,resnet34,PTALL,True,BCE,256x256,50,8,0.9089041736390856,0.8964150446432608,0.9026596128940583,0.8485777086681789,0.8228191397808217,0.8356984231207106,0.8904492974281311,0.9166111248510855,24436369,24436369,7.8359,50,0.8835189510136843
1,2025,HE,segmentacao_binaria,UNetClassica,resnet34,PTALL,True,BCE,256x256,50,8,0.9071705513530307,0.8904100142143391,0.8987902839978535,0.8453598424240395,0.8147476258101287,0.8300537316887467,0.8864045134297124,0.9109966658883625,24436369,24436369,7.8359,41,0.8819605987519026
1,42,HE,segmentacao_binaria,UNetClassica,resnet34,PTALL,False,BCE,256x256,50,8,0.9121412509983337,0.8972341230622044,0.9046876898518315,0.85241165275651,0.8232971017007474,0.8378543750003532,0.8872769713401795,0.9183666712707943,24436369,24436369,7.8359,47,0.8830500040203333
1,123,HE,segmentacao_binaria,UNetClassica,resnet34,PTALL,False,BCE,256x256,50,8,0.9121133703876425,0.8951215415089219,0.9036174588733249,0.8513251936546078,0.8194533853619187,0.8353892922401428,0.8891805253646992,0.9113550629880693,24436369,24436369,7.8359,23,0.8828855324536562
1,2025,HE,segmentacao_binaria,UNetClassica,resnet34,PTALL,False,BCE,256x256,50,8,0.9121641719403366,0.8901663255912287,0.9011652485088065,0.8525623294792173,0.8156061357370129,0.8340842324274558,0.892732212499336,0.9032145851188236,24436369,24436369,7.8359,41,0.8843741519376636
1,42,HE,segmentacao_binaria,UNetClassica,resnet34,PTALL,True,DICE,256x256,50,8,0.9042019839640016,0.8868108279727124,0.8955064045058356,0.8418825463012413,0.814375147609799,0.82812884427883,0.8815431475639344,0.9095786517968885,24436369,24436369,7.8359,38,0.8827256727963686
1,123,HE,segmentacao_binaria,UNetClassica,resnet34,PTALL,True,DICE,256x256,50,8,0.9084159466955397,0.8947299546665616,0.9015729504602926,0.8479724970128801,0.8257565957528573,0.8368645495838589,0.8786404223353774,0.9193222160692568,24436369,24436369,7.8359,30,0.8838064363226295
1,2025,HE,segmentacao_binaria,UNetClassica,resnet34,PTALL,True,DICE,256x256,50,8,0.9004980378680759,0.8877417110079141,0.894119875519364,0.8384409851498074,0.8145143720924992,0.8264776788375996,0.8766188469198015,0.9205184425003137,24436369,24436369,7.8359,43,0.8786658430472016
1,42,HE,segmentacao_binaria,UNetClassica,resnet34,PTALL,False,DICE,256x256,50,8,0.8980044223644116,0.8883557979707365,0.8931801138100801,0.8337687571843465,0.8126411337543417,0.8232049447518808,0.873066176087768,0.922462039358086,24436369,24436369,7.8359,22,0.875270658172667
1,123,HE,segmentacao_binaria,UNetClassica,resnet34,PTALL,False,DICE,256x256,50,8,0.9043002700364148,0.8908310349340792,0.8975656546928265,0.8425129265696915,0.8175781988435321,0.8300455620995274,0.8819921400811938,0.918396970629692,24436369,24436369,7.8359,18,0.8784104809165001
1,2025,HE,segmentacao_binaria,UNetClassica,resnet34,PTALL,False,DICE,256x256,50,8,0.9046836570457176,0.8889039210699222,0.8967937917621047,0.8432376038283109,0.8168403778915052,0.83003899079782,0.8806610155988622,0.9117511012487941,24436369,24436369,7.8359,39,0.8860824797302485
