dataset,task,model,encoder,training mode,augmentation,loss,input_size,epochs,batch_size,num_params,trainable_params,gflops,dice_background_test_media,dice_background_test_std,dice_foreground_test_media,dice_foreground_test_std,mDice_test_media,mDice_test_std,iou_background_test_media,iou_background_test_std,iou_foreground_test_media,iou_foreground_test_std,mIoU_test_media,mIoU_test_std,precision_foreground_test_media,precision_foreground_test_std,recall_foreground_test_media,recall_foreground_test_std,best_epoch_media,best_epoch_std,val_mDice_best_media,val_mDice_best_std
HE,segmentacao_binaria,UNetClassica,resnet34,PTALL,True,BCE,256x256,50,8,24436369,24436369,7.8359,0.9094460510838501,0.002589318862133875,0.8965309544110004,0.0061797104076084745,0.9029885050691204,0.004371955201688041,0.8492103398481475,0.004202677402776835,0.8227286775906881,0.007936207375577764,0.8359695071791425,0.0060558697681020145,0.890096041744138,0.003528188985129233,0.9165230683706425,0.005482904594081269,38.0,13.74772708486752,0.8848414113745093,0.0037225989943701805
HE,segmentacao_binaria,UNetClassica,resnet34,PTALL,True,DICE,256x256,50,8,24436369,24436369,7.8359,0.9043719895092057,0.003961691111641262,0.8897608312157294,0.004328484343106101,0.8970664101618308,0.003963873705584867,0.8427653428213095,0.0048266890174174055,0.8182153718183852,0.0065312624879526405,0.8304903575667628,0.005581606375559535,0.8789341389397044,0.0024752547931869246,0.9164731034554863,0.006000653062221372,37.0,6.557438524302,0.8817326507220665,0.0027103495043779443
OEDB,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,False,BCE,256x256,50,8,31389165,31389165,49.3249,0.8972687794297349,0.003742574615962263,0.7326875242094198,0.009757996411318963,0.8149781513447856,0.006713405129327165,0.8168279230594635,0.005940783510904253,0.588374592656014,0.01258067126954287,0.7026012567620651,0.009201365627719336,0.7772909480274892,0.009528806213316105,0.7113235777645719,0.013310568713366945,35.666666666666664,6.506407098647712,0.8206798837642477,0.010525819494909938
OEDB,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,False,DICE,256x256,50,8,31389165,31389165,49.3249,0.896466893308303,0.007288698027899581,0.7664831775952788,0.012497554429487495,0.8314750328952191,0.009892387189538974,0.8161163274563995,0.011540564314571497,0.6291524843111926,0.01672201176731542,0.7226344047516,0.014131267794340421,0.7429422201479182,0.017983748162249333,0.8060650192201138,0.00724219177162184,32.666666666666664,9.073771725877465,0.8322257766819964,0.007448676528740771
OEDB,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,True,BCE,256x256,50,8,31389165,31389165,49.3249,0.8904859420715594,0.0034105341550831067,0.7215137985699317,0.0035060601184763963,0.8059998709781497,0.0015539919520822486,0.8062442026886285,0.005538044559052087,0.5725586664881192,0.0038354405105253606,0.6894014334561778,0.0031980887005858562,0.7608686786364106,0.017855167861047665,0.7028205247194159,0.0182952418286034,30.666666666666668,9.237604307034012,0.8066178722815079,0.0054283913502375875
OEDB,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,True,DICE,256x256,50,8,31389165,31389165,49.3249,0.8862050499986199,0.00817429332319884,0.7554346702846826,0.013968651068046012,0.8208198607260105,0.011067471709933566,0.8009109796554434,0.012938017276133711,0.6137403128486054,0.018005384093493275,0.707325646544204,0.015463318388817145,0.7209213078022003,0.019884478297662826,0.8086179673087363,0.005260952145123257,39.333333333333336,7.637626158259733,0.8197347714443399,0.009993525894503483
OEDB,segmentacao_binaria,UNetClassica,resnet34,FS,False,BCE,256x256,50,8,24436369,24436369,7.8359,0.9049151642065422,0.0020931175577627954,0.7587512932425621,0.0007309295355164621,0.8318332275923561,0.0008867374077064742,0.8293319636700199,0.003576308731938814,0.620598049943938,0.000821903673733876,0.7249650052365134,0.0021936767067150145,0.7945258462545918,0.013223021441514028,0.7423266853918048,0.009213521921692162,16.333333333333332,3.7859388972001824,0.8380988234221334,0.002073826022844082
OEDB,segmentacao_binaria,UNetClassica,resnet34,FS,False,DICE,256x256,50,8,24436369,24436369,7.8359,0.9033575113497528,0.0014417972207860692,0.7736707805272411,0.0014031463314946497,0.8385141477280972,0.0005682994492581382,0.8274810981808924,0.0017164566577160722,0.6395438241900182,0.0008878098540157245,0.7335124591401979,0.0008342804657891476,0.7715678577329598,0.0010304076588022067,0.790348925865164,0.002417410885811703,24.333333333333332,7.023769168568492,0.8415945539570818,0.002755816979276376
OEDB,segmentacao_binaria,UNetClassica,resnet34,FS,True,BCE,256x256,50,8,24436369,24436369,7.8359,0.9057942900587531,0.00047202445776071814,0.7609908213364143,0.0032526412514660894,0.8333925579984983,0.0018429595018598908,0.8309569449401369,0.0007208156945286304,0.6226330316972498,0.00409246098554832,0.7267949901082936,0.0023966812043130213,0.7981639792229615,0.002717651922725829,0.7405152965117904,0.007873991304360263,37.333333333333336,2.309401076758503,0.8383222619692484,0.002754539956024422
OEDB,segmentacao_binaria,UNetClassica,resnet34,FS,True,DICE,256x256,50,8,24436369,24436369,7.8359,0.8998014053293303,0.002007166107723228,0.7770240794794232,0.001920483036720254,0.8384127412356582,0.001930763782838963,0.822329048286466,0.002704890229381979,0.6420274368103812,0.0027034197996538166,0.7321782434980074,0.0026282408971371888,0.7593629946019135,0.002233461696906,0.8094586452432707,0.003177399030741129,35.333333333333336,8.082903768654761,0.8386137605917574,0.0007681126226403271
OEDB,segmentacao_binaria,UNetClassica,resnet34,PTALL,False,BCE,256x256,50,8,24436369,24436369,7.8359,0.9123805250022925,0.0005631245690352554,0.7775729234312095,0.0014543536631315454,0.8449767268463677,0.0005306120755275671,0.8417186196528229,0.0008943348754489802,0.6467515130472534,0.001451201343798932,0.7442350676831078,0.0003267570891156179,0.8085458122339904,0.0037795319540471087,0.7635427842318427,0.004395567907105264,15.666666666666666,1.5275252316519468,0.849258505936825,0.002082486081456915
OEDB,segmentacao_binaria,UNetClassica,resnet34,PTALL,False,DICE,256x256,50,8,24436369,24436369,7.8359,0.9127708799114415,0.0003621319843465651,0.7819092270790362,0.00226804726434526,0.8473400548100471,0.0013142069561724071,0.842534145303801,0.0006730955523059896,0.6526931057884997,0.0029922056474006873,0.7476136241765583,0.0018317651767464195,0.8038649082768197,0.0013224901214565481,0.7757066842899019,0.005586932161242293,16.333333333333332,4.509249752822894,0.8516384308988397,0.0014522523578632074
OEDB,segmentacao_binaria,UNetClassica,resnet34,PTALL,True,BCE,256x256,50,8,24436369,24436369,7.8359,0.9157762530387616,7.44208183742866e-05,0.7886115140190312,0.0002634198780899562,0.8521938836749863,0.00016061369778926839,0.8475240489431456,0.00015958550635416596,0.6616184298022121,0.0011617137972053074,0.7545712388613645,0.0006493219590213855,0.8121293254342734,0.0010254606308706233,0.7798729862871708,0.002102231403540976,33.333333333333336,10.016652800877813,0.8580803967485524,0.0010480215586986129
OEDB,segmentacao_binaria,UNetClassica,resnet34,PTALL,True,DICE,256x256,50,8,24436369,24436369,7.8359,0.9117546928863899,0.0011178407156914496,0.7931895896646322,0.00040568920198467474,0.852472140946809,0.0007361181505156731,0.8412149774969793,0.0017175887538600026,0.6668639218836439,0.0008346059527232462,0.7540394495807442,0.0012679139979846195,0.7861132667052979,0.004523917187264639,0.8147294036313599,0.0031336388780939433,35.333333333333336,5.131601439446884,0.8556983055490436,0.0005532459431251951
